page,image_file,binomial,photographer,source_url,license,license_url
docs/herbs/Randia_uliginosa.md,Randia_uliginosa_rubiaceae_-_Flickr_-_dinesh_valke.jpg,Randia uliginosa,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/52717043070,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Acampe_praemorsa_-_Acampe_orchid,_ಮರಬಾಳೆ,_Thaalimaravaazha,_Waghri.md",Acampe_praemorsa_orchidaceae_-_Flickr_-_dinesh_valke.jpg,Acampe praemorsa,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/7260570164,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Acmella_paniculata_-_Panicled_spot_flower,_ಆಚಾರ_ಜೊಂಡಿ,_Akkalkara.md",Acmella_paniculata_-_Flickr_-_dinesh_valke.jpg,Acmella paniculata,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/55088817823,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
docs/herbs/Adiantum_lunulatum.md,Adiantum_lunulatum_-_Flickr_-_dinesh_valke.jpg,Adiantum lunulatum,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/3709411749,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Adina_cordifolia.md,Adina_cordifolia_-_Flickr_-_dinesh_valke.jpg,Adina cordifolia,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/53701938976,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Aegiceras_corniculatum_-_Black_mangrove,_ಕಂಜಾಲ,_Narikandal,_Guggilam,_Pukantal,_Cheep.md",Aegiceras_corniculatum_-_Flickr_-_dinesh_valke.jpg,Aegiceras corniculatum,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/52075405630,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Agave_americana_-_Kantala.md,Agave_americana_-_Flickr_-_dinesh_valke.jpg,Agave americana,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/4745872028,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Aglaia_roxburghiana.md,Aglaia_roxburghiana_meliaceae_-_Flickr_-_dinesh_valke.jpg,Aglaia roxburghiana,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/53589193053,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
docs/herbs/Albizia_procera.md,Albizia_procera_-_Flickr_-_dinesh_valke.jpg,Albizia procera,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/53761612064,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Allmania_nodiflora_var_-_Node_flower_allmania,_ಹಸಿರು_ಬುಡ್ಡೆ_ಸೊಪ್ಪು,_Kamatci-k-kirai,_Gurugu_kura,_Pethaar-thaaval,_Dhan_bhaji.md",Allmania_nodiflora_var_amaranthaceae_-_Flickr_-_dinesh_valke.jpg,Allmania nodiflora var,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/48913747708,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Alpinia_calcarata_-_Lesser_Galangal,_ರಾಸ್ನಗಡ್ಡೆ,_Kulanjan,_Sittarutthe,_Rasna.md",Alpinia_calcarata_-_Flickr_-_dinesh_valke.jpg,Alpinia calcarata,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/27600913378,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Ampelocissus_indica_-_Red-stemmed_wild_grape-vine,_ಚೆಂಬಳ್ಳಿ,_Campara-valli,_Chembravalli,_Ran_draksha.md",Ampelocissus_indica_vitaceae_-_Flickr_-_dinesh_valke.jpg,Ampelocissus indica,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/6782452874,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Anodendron_paniculatum_-_Andamanese_bowstring_plant,_ಅಜ್ಜನ_ಗಡ್ಡ,_Kakkakkoti,_Kavali.md",Anodendron_paniculatum_-_Flickr_-_dinesh_valke.jpg,Anodendron paniculatum,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/49172663972,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Anodendron_paniculatum_A_-_Andamanese_bowstring_plant,_ಅಜ್ಜನ_ಗಡ್ಡ,_Kakkakkoti,_Kavali.md",Anodendron_paniculatum_A_-_Flickr_-_dinesh_valke.jpg,Anodendron paniculatum A,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/49172663972,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
"docs/herbs/Aporosa_cardiosperma_-_Lindley's_aporosa,_ಸಳ್ಳೆ_ಮರ,_Vittil,_Vetti,_Sali.md",Aporosa_cardiosperma_-_Flickr_-_dinesh_valke.jpg,Aporosa cardiosperma,Dinesh Valke,https://www.flickr.com/photos/dinesh_valke/15591152184,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
